,guest_speaker,imdb_rating,imd_votes,number_of_episodes
15,Phil Hartman,"[7.8, 8.0, 7.9, 8.2, 8.0, 8.0, 8.0, 8.1, 8.3, 8.4, 8.4, 7.5, 8.0, 8.0, 8.5, 8.5, 8.2, 7.5, 8.0, 8.2, 8.8, 7.3, 7.5, 5.1, 8.1, 8.0, 7.8, 7.5]","[1340.0, 1329.0, 1194.0, 1291.0, 1179.0, 1176.0, 1153.0, 1176.0, 1209.0, 1308.0, 1143.0, 1014.0, 1060.0, 1060.0, 1353.0, 1223.0, 1003.0, 1038.0, 1016.0, 1103.0, 1393.0, 1006.0, 888.0, 1119.0, 1036.0, 957.0, 906.0, 899.0]",28
16, God,[7.8],[1340.0],1
17,Larry King,[8.2],[1392.0],1
18, Akira,"[8.2, 6.5]","[1392.0, 425.0]",2
19, the Master Chef,[8.2],[1392.0],1
20, Toshiro,[8.2],[1392.0],1
21,Jon Lovitz,"[8.8, 8.5, 8.1, 8.8, 7.5, 6.9, 6.7]","[1687.0, 1452.0, 1339.0, 1268.0, 683.0, 568.0, 489.0]",8
22, Deborah Ludwig Davis,[8.8],[1687.0],1
23, Moses,[8.0],[1329.0],1
24,Danny DeVito,"[8.2, 8.2]","[1413.0, 1227.0]",2
25,Tracey Ullman,[7.5],[1264.0],1
26,Audrey Meadows,[7.6],[1243.0],1
27, Phil Hartman,"[7.6, 8.7, 8.2, 8.8, 9.0, 8.0, 8.5, 6.0, 8.3, 8.3, 8.5, 8.1, 7.9]","[1243.0, 1446.0, 1240.0, 1595.0, 2028.0, 1132.0, 1274.0, 1051.0, 1142.0, 1190.0, 1288.0, 1039.0, 1079.0]",13
28,Ringo Starr,[8.0],[1257.0],1
29, Jon Lovitz,"[8.0, 6.0, 8.5, 7.2, 6.6]","[1257.0, 1051.0, 1223.0, 610.0, 372.0]",5
30,Dustin Hoffman,[8.5],[1684.0],1
31,Cloris Leachman,[8.4],[1379.0],1
32, Daniel Stern,[8.4],[1379.0],1
33,Michael Jackson,[8.6],[1798.0],1
34,Lona Williams,[7.7],[1274.0],1
35,Joe Mantegna,"[8.7, 8.0, 7.8, 8.0, 6.9, 7.7, 7.5, 6.6, 5.8]","[1446.0, 995.0, 998.0, 701.0, 577.0, 697.0, 754.0, 486.0, 445.0]",9
36, Troy McClure,"[8.7, 7.8, 8.1, 7.8, 8.3, 7.7, 8.3, 7.7]","[1446.0, 1160.0, 1339.0, 1163.0, 1209.0, 1085.0, 1146.0, 954.0]",8
37, Neil Patrick Harris,[8.7],[1446.0],1
38, Marcia Wallace,"[8.7, 7.8, 8.2, 9.0, 8.7, 8.4, 8.0, 9.0, 8.2, 7.4, 7.7, 7.3, 6.9, 7.4, 7.1, 7.0, 7.2, 7.0, 6.7]","[1446.0, 1163.0, 1269.0, 2010.0, 1270.0, 1308.0, 1060.0, 1690.0, 1003.0, 1158.0, 876.0, 760.0, 730.0, 731.0, 593.0, 706.0, 519.0, 492.0, 468.0]",19
39, Magic Johnson,[8.5],[1452.0],1
40,Jackie Mason,"[7.7, 6.6, 6.7]","[1262.0, 576.0, 552.0]",3
41,Aerosmith,[8.8],[1618.0],1
42, Lionel Hutz,"[8.8, 7.7, 8.0, 8.3, 8.3, 7.5]","[1618.0, 1080.0, 1132.0, 1084.0, 1172.0, 1038.0]",6
43,Sting,[8.5],[1365.0],1
44,Roger Clemens,[8.6],[1637.0],1
45, Ken Griffey,[8.6],[1637.0],1
46, Jr.,"[8.6, 7.7]","[1637.0, 882.0]",2
47, Ozzie Smith,[8.6],[1637.0],1
48, Don Mattingly,[8.6],[1637.0],1
49, Mike Scioscia,[8.6],[1637.0],1
50,Steve Allen,[8.2],[1201.0],1
51,Beverly D'Angelo,"[7.9, 6.1]","[1233.0, 585.0]",2
52,Christopher Guest,[7.7],[1176.0],1
